Year,District,Crime,Cases
2017,Ahilyanagar,Violation of Privacy,
2017,Akola,Violation of Privacy,
2017,Amravati,Violation of Privacy,10.0
2017,Chh. Sambhaji Nagar,Violation of Privacy,
2017,Beed,Violation of Privacy,
2017,Bhandara,Violation of Privacy,1.0
2017,Buldhana,Violation of Privacy,
2017,Chandrapur,Violation of Privacy,
2017,Dhule,Violation of Privacy,
2017,Gadchiroli,Violation of Privacy,
2017,Gondia,Violation of Privacy,
2017,Hingoli,Violation of Privacy,
2017,Jalgaon,Violation of Privacy,
2017,Jalna,Violation of Privacy,
2017,Kolhapur,Violation of Privacy,
2017,Latur,Violation of Privacy,
2017,Mumbai,Violation of Privacy,2.0
2017,Nagpur,Violation of Privacy,
2017,Nanded,Violation of Privacy,
2017,Nandurbar,Violation of Privacy,1.0
2017,Nashik,Violation of Privacy,1.0
2017,Dharashiv,Violation of Privacy,
2017,Palghar,Violation of Privacy,
2017,Parbhani,Violation of Privacy,
2017,Pune,Violation of Privacy,1.0
2017,Raigad,Violation of Privacy,
2017,Ratnagiri,Violation of Privacy,
2017,Sangli,Violation of Privacy,
2017,Satara,Violation of Privacy,2.0
2017,Sindhudurg,Violation of Privacy,
2017,Solapur,Violation of Privacy,
2017,Thane,Violation of Privacy,4.0
2017,Wardha,Violation of Privacy,
2017,Washim,Violation of Privacy,
2017,Yavatmal,Violation of Privacy,
2018,Ahilyanagar,Violation of Privacy,
2018,Akola,Violation of Privacy,
2018,Amravati,Violation of Privacy,1.0
2018,Chh. Sambhaji Nagar,Violation of Privacy,
2018,Beed,Violation of Privacy,
2018,Bhandara,Violation of Privacy,
2018,Buldhana,Violation of Privacy,
2018,Chandrapur,Violation of Privacy,
2018,Dhule,Violation of Privacy,
2018,Gadchiroli,Violation of Privacy,
2018,Gondia,Violation of Privacy,
2018,Hingoli,Violation of Privacy,
2018,Jalgaon,Violation of Privacy,
2018,Jalna,Violation of Privacy,
2018,Kolhapur,Violation of Privacy,
2018,Latur,Violation of Privacy,1.0
2018,Mumbai,Violation of Privacy,1.0
2018,Nagpur,Violation of Privacy,1.0
2018,Nanded,Violation of Privacy,1.0
2018,Nandurbar,Violation of Privacy,
2018,Nashik,Violation of Privacy,
2018,Dharashiv,Violation of Privacy,
2018,Palghar,Violation of Privacy,3.0
2018,Parbhani,Violation of Privacy,
2018,Pune,Violation of Privacy,
2018,Raigad,Violation of Privacy,
2018,Ratnagiri,Violation of Privacy,
2018,Sangli,Violation of Privacy,2.0
2018,Satara,Violation of Privacy,
2018,Sindhudurg,Violation of Privacy,
2018,Solapur,Violation of Privacy,
2018,Thane,Violation of Privacy,
2018,Wardha,Violation of Privacy,
2018,Washim,Violation of Privacy,
2018,Yavatmal,Violation of Privacy,
2019,Ahilyanagar,Violation of Privacy,
2019,Akola,Violation of Privacy,
2019,Amravati,Violation of Privacy,
2019,Chh. Sambhaji Nagar,Violation of Privacy,
2019,Beed,Violation of Privacy,
2019,Bhandara,Violation of Privacy,
2019,Buldhana,Violation of Privacy,
2019,Chandrapur,Violation of Privacy,1.0
2019,Dhule,Violation of Privacy,
2019,Gadchiroli,Violation of Privacy,
2019,Gondia,Violation of Privacy,
2019,Hingoli,Violation of Privacy,
2019,Jalgaon,Violation of Privacy,
2019,Jalna,Violation of Privacy,
2019,Kolhapur,Violation of Privacy,
2019,Latur,Violation of Privacy,
2019,Mumbai,Violation of Privacy,
2019,Nagpur,Violation of Privacy,
2019,Nanded,Violation of Privacy,
2019,Nandurbar,Violation of Privacy,
2019,Nashik,Violation of Privacy,
2019,Dharashiv,Violation of Privacy,
2019,Palghar,Violation of Privacy,2.0
2019,Parbhani,Violation of Privacy,
2019,Pune,Violation of Privacy,1.0
2019,Raigad,Violation of Privacy,
2019,Ratnagiri,Violation of Privacy,
2019,Sangli,Violation of Privacy,1.0
2019,Satara,Violation of Privacy,1.0
2019,Sindhudurg,Violation of Privacy,
2019,Solapur,Violation of Privacy,
2019,Thane,Violation of Privacy,6.0
2019,Wardha,Violation of Privacy,
2019,Washim,Violation of Privacy,
2019,Yavatmal,Violation of Privacy,
2020,Ahilyanagar,Violation of Privacy,
2020,Akola,Violation of Privacy,1.0
2020,Amravati,Violation of Privacy,
2020,Chh. Sambhaji Nagar,Violation of Privacy,
2020,Beed,Violation of Privacy,
2020,Bhandara,Violation of Privacy,
2020,Buldhana,Violation of Privacy,
2020,Chandrapur,Violation of Privacy,1.0
2020,Dhule,Violation of Privacy,
2020,Gadchiroli,Violation of Privacy,
2020,Gondia,Violation of Privacy,
2020,Hingoli,Violation of Privacy,
2020,Jalgaon,Violation of Privacy,
2020,Jalna,Violation of Privacy,1.0
2020,Kolhapur,Violation of Privacy,
2020,Latur,Violation of Privacy,
2020,Mumbai,Violation of Privacy,2.0
2020,Nagpur,Violation of Privacy,1.0
2020,Nanded,Violation of Privacy,
2020,Nandurbar,Violation of Privacy,
2020,Nashik,Violation of Privacy,
2020,Dharashiv,Violation of Privacy,
